功能名,Function name,register address,Decimal,fields,type,accuracy,units,min,max,Properties,说明,Description,Confidential,Mask computation,,Support single register read,Support single register write,Register linking is supported,Register concatenation is supported,备注(Remarks),Remarks
,,048A,,ApparentPower_PCC_Total,I16,0.01,kW,,,R,总PCC视在功率。,Total PCC apparent power.,End-users,,,,,,,卖电为正，买电为负,"Positive for selling power, negative for buying power"
,,048B -- 048C,,GridOutput_Rsvd1 -- 2,,,,,,R,并网输出预留1-2,Grid connected output reserve 1-2,End-users,,,,,,,,
"R相并网
实时数据","R-phase grid connection
Real-time data",048D,,Voltage_Phase_R,U16,0.1,V,,,R,R相电网电压,R-phase grid voltage,End-users,,,,,,,例：0x093E表示236.6V,Example: 0x093E means 236.6V
,,048E,,Current_Output_R,U16,0.01,A,,,R,R相逆变器输出电流,Phase R inverter output current,End-users,,,,,,,例：0x0049表示0.73A,Example: 0x0049 means 0.73A
,,048F,,ActivePower_Output_R,I16,0.01,kW,,,R,R相逆变器输出有功功率。,R-phase inverter output active power.,End-users,,,,,,,放电为正，充电为负,"Discharge is positive, charge is negative"
,,0490,,ReactivePower_Output_R,I16,0.01,kW,,,R,R相逆变器输出无功功率。,R phase inverter output reactive power.,End-users,,,,,,,逆变器端超前为正，滞后为负,"Inverter side overrun is positive, hysteresis is negative"
,,0491,,PowerFactor_Output_R,I16,0.001,p.u.,,,R,R相功率因数。,R-phase power factor.,End-users,,,,,,,逆变器端超前为正，滞后为负,"Inverter side overrun is positive, hysteresis is negative"
,,0492,,Current_PCC_R,U16,0.01,A,,,R,R相PCC电流。,R-phase PCC current.,End-users,,,,,,,部分机型需要接电表才有数据,Some models need to be connected to a power meter to get data
,,0493,,ActivePower_PCC_R,I16,0.01,kW,,,R,R相PCC有功功率,R-phase PCC active power,End-users,,,,,,,逆变器端超前为正，滞后为负,"Positive overrun, negative hysteresis on inverter side"
,,0494,,ReactivePower_PCC_R,I16,0.01,kW,,,R,R相PCC无功功率。,R-phase PCC reactive power.,End-users,,,,,,,,
,,0495,,PowerFactor_PCC_R,I16,0.001,p.u.,,,R,R相PCC功率因数。,R phase PCC power factor.,End-users,,,,,,,逆变器端超前为正，滞后为负,"Positive overrun, negative hysteresis on inverter side"
,,0496 -- 0497,,R_Rsvd1 -- 2,,,,,,R,R相预留1-2,Phase R reserved 1-2,End-users,,,,,,,,
"S相并网
实时数据","S-phase grid connection
Real-time data",0498,,Voltage_Phase_S,U16,0.1,V,,,R,S相电网电压,Phase S grid voltage,End-users,,,,,,,参考上面R相的相关说明,Refer to the relevant notes for R-phase above
,,0499,,Current_Output_S,U16,0.01,A,,,R,S相逆变器输出电流,Phase S inverter output current,End-users,,,,,,,,
,,049A,,ActivePower_Output_S,I16,0.01,kW,,,R,S相逆变器输出有功功率。,S phase inverter output active power.,End-users,,,,,,,,
,,049B,,ReactivePower_Output_S,I16,0.01,kW,,,R,S相逆变器输出无功功率。,S phase inverter output reactive power.,End-users,,,,,,,,
,,049C,,PowerFactor_Output_S,I16,0.001,p.u.,,,R,S相功率因数。,S phase power factor.,End-users,,,,,,,,
,,049D,,Current_PCC_S,U16,0.01,A,,,R,S相PCC电流,S phase PCC current,End-users,,,,,,,,
,,049E,,ActivePower_PCC_S,I16,0.01,kW,,,R,S相PCC有功功率。,S phase PCC active power.,End-users,,,,,,,,
,,049F,,ReactivePower_PCC_S,I16,0.01,kW,,,R,S相PCC无功功率。,S phase PCC reactive power.,End-users,,,,,,,,
,,04A0,,PowerFactor_PCC_S,I16,0.001,p.u.,,,R,S相PCC功率因数。,S phase PCC power factor.,End-users,,,,,,,,
,,04A1 -- 04A2,,S_Rsvd1 -- 2,,,,,,R,S相预留1-2,S phase reserved 1-2,End-users,,,,,,,,
"T相并网
实时数据","T-phase grid connection
Real-time data",04A3,,Voltage_Phase_T,U16,0.1,V,,,R,T相电网电压,Phase T grid voltage,End-users,,,,,,,参考上面R相的相关说明,Refer to the instructions for R-phase above
,,04A4,,Current_Output_T,U16,0.01,A,,,R,T相逆变器输出电流,Phase T inverter output current,End-users,,,,,,,,
,,04A5,,ActivePower_Output_T,I16,0.01,kW,,,R,T相逆变器输出有功功率。,T-phase inverter output active power.,End-users,,,,,,,,
,,04A6,,ReactivePower_Output_T,I16,0.01,kW,,,R,T相逆变器输出无功功率。,T-phase inverter output reactive power.,End-users,,,,,,,,
,,04A7,,PowerFactor_Output_T,I16,0.001,p.u.,,,R,T相功率因数。,T-phase power factor.,End-users,,,,,,,,
,,04A8,,Current_PCC_T,U16,0.01,A,,,R,T相PCC电流。,T-phase PCC current.,End-users,,,,,,,,
,,04A9,,ActivePower_PCC_T,I16,0.01,kW,,,R,T相PCC有功功率。,T-phase PCC active power.,End-users,,,,,,,,
,,04AA,,ReactivePower_PCC_T,I16,0.01,kW,,,R,T相PCC无功功率。,T-phase PCC reactive power.,End-users,,,,,,,,
,,04AB,,PowerFactor_PCC_T,I16,0.001,p.u.,,,R,T相PCC功率因数。,T-phase PCC power factor.,End-users,,,,,,,,
,,04AC -- 04AD,,T_Rsvd1 -- 2,,,,,,R,T相预留1-2,T-phase reserved for 1-2,End-users,,,,,,,,
"其他并网
实时数据",Other grid connections-Real-time data,04AE,,ActivePower_PV_Ext,U16,0.01,kW,,,R,外部发电功率,External power generation,End-users,,,,,,,读出来的数乘精度即为最终数据,The readout multiplied by the accuracy is the final data
,,04AF,,ActivePower_Load_Sys,U16,0.01,kW,,,R,系统总负载功率,Total system load power,End-users,,,,,,,需要接负载，能流图负载功率的读取地址,The load needs to be connected and the address for reading the load power of the energy flow diagram
,,04B0,,Voltage_Phase_L1N,U16,0.1,V,,,R,电网L1对N电压有效值,Grid L1 to N voltage RMS,End-users,,,,,,,,
,,04B1,,Current_Output_L1N,U16,0.01,A,,,R,L1输出电流有效值,L1 output current RMS,End-users,,,,,,,,
,,04B2,,ActivePower_Output_L1N,I16,0.01,kW,,,R,L1线上输出有功功率,Active power output on L1 line,End-users,,,,,,,,
,,04B3,,Current_PCC_L1N,U16,0.01,A,,,R,L1线上CT电流有效值,RMS CT current on line L1,End-users,,,,,,,,
,,04B4,,ActivePower_PCC_L1N,I16,0.01,kW,,,R,L1线上PCC有功功率,PCC active power on line L1,End-users,,,,,,,,
,,04B5,,Voltage_Phase_L2N,U16,0.1,V,,,R,电网L2对N电压有效值,Grid L2 RMS voltage to N,End-users,,,,,,,,
,,04B6,,Current_Output_L2N,U16,0.01,A,,,R,L2输出电流有效值,RMS L2 output current,End-users,,,,,,,,
,,04B7,,ActivePower_Output_L2N,I16,0.01,kW,,,R,L2线上输出有功功率,Active power output on line L2,End-users,,,,,,,,
,,04B8,,Current_PCC_L2N,U16,0.01,A,,,R,L2线上CT电流有效值,RMS CT current on L2,End-users,,,,,,,,
,,04B9,,ActivePower_PCC_L2N,I16,0.01,kW,,,R,L2线上PCC有功功率,PCC active power on line L2,End-users,,,,,,,,
,,04BA,,Voltage_Line_L1,U16,0.1,V,,,R,L1线电压：R/S相之间的电压,Line voltage L1: voltage between phases R/S,End-users,,,,,,,"三相机型才有此功能,例：0x1014表示411.6V","This function is only available for three-phase models, e.g. 0x1014 means 411.6V"
,,04BB,,Voltage_Line_L2,U16,0.1,V,,,R,L2线电压：S/T相之间的电压,L2 line voltage: voltage between S/T phases,End-users,,,,,,,参考L1线电压,Reference L1 line voltage
,,04BC,,Voltage_Line_L3,U16,0.1,V,,,R,L3线电压：T/R相之间的电压,Line L3 voltage: voltage between phases T/R,End-users,,,,,,,,
,,04BD,,Power_Factor,I16,0.001,p.u.,,,R,总功率因数。,Total power factor.,End-users,,,,,,,逆变器端超前为正，滞后为负,"Overrun is positive, hysteresis is negative at the inverter end"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
2.3Off-grid output(0x0500-0x057F),,,,,,,,,,,,,,,,,,,,,
,,0500 -- 0503,#NUM!,AddressMask_Realtime_EmergencyOutput1,U64,,,,,R,"本地址开始的64个寄存器地址字的掩码区。
参看地址0x0040的说明","Mask area for the 64 register address words starting at this address.
Refer to the description of address 0x0040",End-users,00000000,0000000F,,,,,,
负载功率,Load power,0504,1284 ,ActivePower_Load_Total,I16,0.01,kW,,,R,负载有功功率。,Load active power.,End-users,,,,,,,负载消耗为正，回馈为负。,"Load consumption is positive, feedback is negative."
,,0505,1285 ,ReactivePower_Load_Total,I16,0.01,kW,,,R,负载无功功率,Load reactive power,End-users,,,,,,,,
,,0506,1286 ,ApparentPower_Load_Total,I16,0.01,kW,,,R,负载视在功率。,Load apparent power.,End-users,,,,,,,负载消耗为正，回馈为负。,"Load consumption is positive, feedback is negative."
输出电压频率,Output voltage frequency,0507,1287 ,Frequency_Output,U16,0.01,Hz,,,R,输出电压频率,Output voltage frequency,End-users,,,,,,,逆变器输出的电压频率,The voltage frequency of the inverter output
,,0508 -- 0509,#NUM!,ESOutput_Rsvd1 -- 2,,,,,,R,离网总输出预留1-2,Off-grid total output reserve 1-2,End-users,,,,,,,,
"R相离网
实时数据","R-phase off-grid
Real-time data",050A,1290 ,Voltage_Output_R,U16,0.1,V,,,R,R相逆变器输出电压,R-phase inverter output voltage,End-users,,,,,,,,
,,050B,1291 ,Current_Load_R,I16,0.01,A,,,R,R相负载电流,Phase R load current,End-users,,,,,,,R相与负载的电流,R-phase with load current
,,050C,1292 ,ActivePower_Load_R,I16,0.01,kW,,,R,R相负载有功功率。,R-phase load active power.,End-users,,,,,,,单相负载有功功率，负载消耗为正，回馈为负。,Active power of single-phase load with positive load consumption and negative feed-back
,,050D,1293 ,ReactivePower_Load_R,I16,0.01,kW,,,R,R相负载无功功率。,R-phase load reactive power.,End-users,,,,,,,逆变器端超前为正，滞后为负,"Inverter side overrun is positive, hysteresis is negative"
,,050E,1294 ,ApparentPower_Load_R,I16,0.01,kVA,,,R,R相负载视在功率。,R-phase load apparent power.,End-users,,,,,,,负载消耗为正，回馈为负。,"Positive for load consumption, negative for return"
,,050F,1295 ,LoadPeakRatio_R,U16,0.01,p.u.,,,R,R相负载峰值比,R phase load peak ratio,End-users,,,,,,,,
,,0510,1296 ,Voltage_Load_R,U16,0.1,V,,,R,R相应急负载电压,R corresponding acute load voltage,End-users,,,,,,,,
,,0511,1297 ,ESR_Rsvd2,,,,,,R,R相预留2,R phase reserve 2,End-users,,,,,,,,
"S相离网
实时数据","S-phase off-grid
Real-time data",0512,1298 ,Voltage_Output_S,U16,0.1,V,,,R,S相逆变器输出电压,Phase S inverter output voltage,End-users,,,,,,,参考上面R相的相关说明,Refer to the relevant note for phase R above
,,0513,1299 ,Current_Load_S,I16,0.01,A,,,R,S相负载电流,S phase load current,End-users,,,,,,,,
,,0514,1300 ,ActivePower_Load_S,I16,0.01,kW,,,R,S相负载有功功率。,S phase load active power.,End-users,,,,,,,,
,,0515,1301 ,ReactivePower_Load_S,I16,0.01,kW,,,R,S相负载无功功率。,S phase load reactive power.,End-users,,,,,,,,
,,0516,1302 ,ApparentPower_Load_S,I16,0.01,kVA,,,R,S相负载视在功率。,S phase load apparent power.,End-users,,,,,,,,
,,0517,1303 ,LoadPeakRatio_S,U16,0.01,p.u.,,,R,S相负载峰值比,S phase load peak ratio,End-users,,,,,,,,
,,0518,1304 ,Voltage_Load_S,U16,0.1,V,,,R,S相应急负载电压,S phase corresponding acute load voltage,End-users,,,,,,,,
,,0519,1305 ,ESS_Rsvd2,,,,,,R,S相预留2,S phase reserve 2,End-users,,,,,,,,
"T相离网
实时数据","T-phase off-grid
Real-time data",051A,1306 ,Voltage_Output_T,U16,0.1,V,,,R,T相逆变器输出电压,T-phase inverter output voltage,End-users,,,,,,,参考上面R相的相关说明,Refer to the description of phase R above
,,051B,1307 ,Current_Load_T,I16,0.01,A,,,R,T相负载电流,T phase load current,End-users,,,,,,,,
,,051C,1308 ,ActivePower_Load_T,I16,0.01,kW,,,R,T相负载有功功率。,T phase load active power.,End-users,,,,,,,,
,,051D,1309 ,ReactivePower_Load_T,I16,0.01,kW,,,R,T相负载无功功率。,T phase load reactive power.,End-users,,,,,,,,
,,051E,1310 ,ApparentPower_Load_T,I16,0.01,kVA,,,R,T相负载视在功率。,T-phase load apparent power.,End-users,,,,,,,,
,,051F,1311 ,LoadPeakRatio_T,U16,0.01,p.u.,,,R,T相负载峰值比,T phase load peak ratio,End-users,,,,,,,,
,,0520,1312 ,Voltage_Load_T,U16,0.1,V,,,R,T相应急负载电压,T corresponding acute load voltage,End-users,,,,,,,,
,,0521,1313 ,EST_Rsvd2,,,,,,R,T相预留2,T phase reserved 2,End-users,,,,,,,,
"其他离网
实时数据","""Other off-grid
Real Time Data""",0522,1314 ,Voltage_Output_L1N,U16,0.1,V,,,R,逆变L1对N电压有效值,Inverter L1 to N voltage RMS,End-users,,,,,,,,
,,0523,1315 ,Current_Load_L1N,I16,0.01,A,,,R,L1负载电流有效值,L1 load current RMS,End-users,,,,,,,,
,,0524,1316 ,ActivePower_Load_L1N,I16,0.01,kW,,,R,负载L1对N有功功率,Load L1 to N active power,End-users,,,,,,,,
,,0525,1317 ,Voltage_Output_L2N,U16,0.1,V,,,R,逆变L2对N电压有效值,Inverter L2 to N voltage RMS,End-users,,,,,,,,
,,0526,1318 ,Current_Load_L2N,I16,0.01,A,,,R,L2负载电流有效值,L2 load current RMS,End-users,,,,,,,,
